Year,ZipCode,Gender,Count
2012,91791,Female,129
2012,91792,Male,72
2012,91792,Female,68
2012,91801,Male,172
2012,91801,Female,188
2012,91803,Male,100
2012,91803,Female,121
2012,91901,Male,58
2012,91901,Female,64
2012,91902,Male,57
2012,91902,Female,57
2012,91905,Male,14
2012,91905,Female,8
2012,91906,Male,12
2012,91906,Female,16
2012,91910,Male,273
2012,91910,Female,283
2012,91911,Male,316
2012,91911,Female,251
2012,91913,Male,58
2012,91913,Female,61
2012,91914,Male,20
2012,91914,Female,20
2012,91915,Male,19
2012,91915,Female,35
2012,91916,Male,12
2012,91916,Female,5
2012,91917,Male,6
2012,91917,Female,3
2012,91932,Male,102
2012,91932,Female,77
2012,91934,Male,5
2012,91934,Female,7
2012,91935,Male,27
2012,91935,Female,25
2012,91941,Male,132
2012,91941,Female,161
2012,91942,Male,173
2012,91942,Female,221
2012,91945,Male,97
2012,91945,Female,103
2012,91950,Male,221
2012,91950,Female,176
2012,91962,Male,4
2012,91962,Female,4
2012,91963,Male,3
2012,91963,Female,6
2012,91977,Male,193
2012,91977,Female,183
2012,91978,Male,24
2012,91978,Female,23
2012,92003,Male,19
2012,92003,Female,13
2012,92004,Male,16
2012,92004,Female,12
2012,92007,Male,38
2012,92007,Female,31
2012,92008,Male,109
2012,92008,Female,115
2012,92009,Male,114
2012,92009,Female,120
2012,92010,Male,49
2012,92010,Female,42
2012,92011,Male,70
2012,92011,Female,97
2012,92014,Male,47
2012,92014,Female,48
2012,92019,Male,165
2012,92019,Female,182
2012,92020,Male,257
2012,92020,Female,246
2012,92021,Male,263
2012,92021,Female,275
2012,92024,Male,153
2012,92024,Female,223
2012,92025,Male,171
2012,92025,Female,174
2012,92026,Male,247
2012,92026,Female,212
2012,92027,Male,195
2012,92027,Female,171
2012,92028,Male,220
2012,92028,Female,192
2012,92029,Male,69
2012,92029,Female,63
2012,92036,Male,14
2012,92036,Female,12
2012,92037,Male,159
2012,92037,Female,159
2012,92040,Male,179
2012,92040,Female,142
2012,92054,Male,139
2012,92054,Female,112
2012,92055,Male,14
2012,92055,Female,2
2012,92056,Male,255
2012,92056,Female,223
2012,92057,Male,172
2012,92057,Female,180
2012,92058,Male,83
2012,92058,Female,66
2012,92059,Male,12
2012,92059,Female,7
2012,92061,Male,14
2012,92061,Female,7
2012,92064,Male,130
2012,92064,Female,184
2012,92065,Male,119
2012,92065,Female,114
2012,92067,Male,33
2012,92067,Female,24
2012,92069,Male,127
2012,92069,Female,123
2012,92070,Male,7
2012,92070,Female,6
2012,92071,Male,175
2012,92071,Female,200
2012,92075,Male,38
2012,92075,Female,49
2012,92078,Male,163
2012,92078,Female,156
2012,92081,Male,87
2012,92081,Female,72
2012,92082,Male,65
2012,92082,Female,62
2012,92083,Male,106
2012,92083,Female,109
2012,92084,Male,175
2012,92084,Female,182
2012,92086,Male,8
2012,92086,Female,8
2012,92091,Male,9
2012,92091,Female,3
2012,92101,Male,155
2012,92101,Female,99
2012,92102,Male,102
2012,92102,Female,88
2012,92103,Male,157
2012,92103,Female,136
2012,92104,Male,116
2012,92104,Female,105
2012,92105,Male,190
2012,92105,Female,147
2012,92106,Male,86
2012,92106,Female,84
2012,92107,Male,85
2012,92107,Female,75
2012,92108,Male,37
2012,92108,Female,41
2012,92109,Male,118
2012,92109,Female,114
2012,92110,Male,127
2012,92110,Female,115
2012,92111,Male,148
2012,92111,Female,156
2012,92113,Male,130
2012,92113,Female,118
2012,92114,Male,231
2012,92114,Female,214
2012,92115,Male,158
2012,92115,Female,173
2012,92116,Male,102
2012,92116,Female,74
2012,92117,Male,214
2012,92117,Female,202
2012,92118,Male,73
2012,92118,Female,73
2012,92119,Male,104
2012,92119,Female,103
2012,92120,Male,139
2012,92120,Female,135
2012,92121,Male,9
2012,92121,Female,10
2012,92122,Male,143
2012,92122,Female,126
2012,92123,Male,90
2012,92123,Female,91
2012,92124,Male,52
2012,92124,Female,52
2012,92126,Male,169
2012,92126,Female,148
2012,92127,Male,72
2012,92127,Female,107
2012,92128,Male,196
2012,92128,Female,210
2012,92129,Male,98
2012,92129,Female,97
2012,92130,Male,73
2012,92130,Female,67
2012,92131,Male,56
2012,92131,Female,36
2012,92139,Male,105
2012,92139,Female,105
2012,92154,Male,209
2012,92154,Female,185
2012,92161,Male,5
2012,92161,Female,
2012,92173,Male,90
2012,92173,Female,74
2012,92179,Male,8
2012,92179,Female,
2012,92201,Male,231
2012,92201,Female,171
2012,92203,Male,96
2012,92203,Female,73
2012,92210,Male,40
2012,92210,Female,33
2012,92211,Male,204
2012,92211,Female,174
2012,92220,Male,233
2012,92220,Female,193
2012,92222,Male,2
2012,92222,Female,4
2012,92223,Male,151
2012,92223,Female,165
2012,92225,Male,81
2012,92225,Female,46
2012,92227,Male,103
2012,92227,Female,66
2012,92230,Male,9
2012,92230,Female,5
2012,92231,Male,117
2012,92231,Female,80
2012,92233,Male,12
2012,92233,Female,8
2012,92234,Male,234
2012,92234,Female,173
2012,92236,Male,70
2012,92236,Female,50
2012,92240,Male,153
2012,92240,Female,97
2012,92241,Male,45
2012,92241,Female,41
2012,92242,Male,23
2012,92242,Female,16
2012,92243,Male,160
2012,92243,Female,124
2012,92249,Male,12
2012,92249,Female,9
2012,92250,Male,30
2012,92250,Female,25
2012,92251,Male,46
2012,92251,Female,26
2012,92252,Male,63
2012,92252,Female,53
2012,92253,Male,152
2012,92253,Female,110
2012,92254,Male,20
2012,92254,Female,11
2012,92256,Male,21
2012,92256,Female,16
2012,92257,Male,23
2012,92257,Female,17
2012,92258,Male,5
2012,92258,Female,2
2012,92260,Male,228
2012,92260,Female,226
2012,92262,Male,195
2012,92262,Female,143
2012,92264,Male,183
2012,92264,Female,115
2012,92266,Male,6
2012,92266,Female,5
2012,92268,Male,6
2012,92268,Female,2
2012,92270,Male,136
2012,92270,Female,144
2012,92273,Male,8
2012,92273,Female,3
2012,92274,Male,51
2012,92274,Female,35
2012,92275,Male,16
2012,92275,Female,5
2012,92276,Male,47
2012,92276,Female,37
2012,92277,Male,78
2012,92277,Female,68
2012,92281,Male,6
2012,92281,Female,9
2012,92282,Male,4
2012,92282,Female,3
2012,92283,Male,15
2012,92283,Female,15
2012,92284,Male,153
2012,92284,Female,151
2012,92285,Male,24
2012,92285,Female,12
2012,92301,Male,72
2012,92301,Female,67
2012,92307,Male,203
2012,92307,Female,174
2012,92308,Male,239
2012,92308,Female,189
2012,92310,Male,2
2012,92310,Female,5
2012,92311,Male,178
2012,92311,Female,127
2012,92313,Male,43
2012,92313,Female,52
2012,92314,Male,46
2012,92314,Female,35
2012,92315,Male,25
2012,92315,Female,28
2012,92316,Male,71
2012,92316,Female,69
2012,92320,Male,50
2012,92320,Female,57
2012,92322,Male,7
2012,92322,Female,2
2012,92324,Male,157
2012,92324,Female,143
2012,92325,Male,44
2012,92325,Female,31
2012,92327,Male,2
2012,92327,Female,4
2012,92329,Male,10
2012,92329,Female,5
2012,92333,Male,
2012,92333,Female,5
2012,92334,Male,2
2012,92334,Female,3
2012,92335,Male,228
2012,92335,Female,194
2012,92336,Male,158
2012,92336,Female,152
2012,92337,Male,64
2012,92337,Female,39
2012,92339,Male,2
2012,92339,Female,8
2012,92342,Male,38
2012,92342,Female,16
2012,92344,Male,48
2012,92344,Female,40
2012,92345,Male,315
2012,92345,Female,270
2012,92346,Male,183
2012,92346,Female,169
2012,92347,Male,10
2012,92347,Female,8
2012,92352,Male,29
2012,92352,Female,20
2012,92354,Male,96
2012,92354,Female,92
2012,92356,Male,49
2012,92356,Female,31
2012,92358,Male,9
2012,92358,Female,3
2012,92359,Male,27
2012,92359,Female,31
2012,92363,Male,37
2012,92363,Female,30
2012,92365,Male,12
2012,92365,Female,15
2012,92368,Male,3
2012,92368,Female,2
2012,92369,Male,4
2012,92369,Female,1
2012,92371,Male,57
2012,92371,Female,55
2012,92372,Male,23
2012,92372,Female,16
2012,92373,Male,141
2012,92373,Female,166
2012,92374,Male,116
2012,92374,Female,116
2012,92376,Male,204
2012,92376,Female,217
2012,92377,Male,48
2012,92377,Female,47
2012,92382,Male,21
2012,92382,Female,10
2012,92386,Male,6
2012,92386,Female,10
2012,92391,Male,3
2012,92391,Female,4
2012,92392,Male,177
2012,92392,Female,162
2012,92394,Male,57
2012,92394,Female,58
2012,92395,Male,198
2012,92395,Female,211
2012,92397,Male,19
2012,92397,Female,10
2012,92398,Male,9
2012,92398,Female,5
2012,92399,Male,252
2012,92399,Female,226
2012,92401,Male,16
2012,92401,Female,12
2012,92404,Male,268
2012,92404,Female,245
2012,92405,Male,97
2012,92405,Female,78
2012,92407,Male,128
2012,92407,Female,106
2012,92408,Male,49
2012,92408,Female,32
2012,92410,Male,145
2012,92410,Female,106
2012,92411,Male,99
2012,92411,Female,82
2012,92415,Male,5
2012,92415,Female,1
2012,92501,Male,78
2012,92501,Female,64
2012,92503,Male,261
2012,92503,Female,244
2012,92504,Male,207
2012,92504,Female,206
2012,92505,Male,108
2012,92505,Female,125
2012,92506,Male,144
2012,92506,Female,190
2012,92507,Male,145
2012,92507,Female,110
2012,92508,Male,69
2012,92508,Female,66
2012,92509,Male,226
2012,92509,Female,202
2012,92518,Male,21
2012,92518,Female,30
2012,92530,Male,127
2012,92530,Female,131
2012,92532,Male,42
2012,92532,Female,32
2012,92536,Male,19
2012,92536,Female,12
2012,92539,Male,23
2012,92539,Female,20
2012,92543,Male,226
2012,92543,Female,250
2012,92544,Male,278
2012,92544,Female,278
2012,92545,Male,291
2012,92545,Female,272
2012,92548,Male,38
2012,92548,Female,30
2012,92549,Male,18
2012,92549,Female,17
2012,92551,Male,52
2012,92551,Female,61
2012,92553,Male,150
2012,92553,Female,146
2012,92555,Male,79
2012,92555,Female,72
2012,92557,Male,125
2012,92557,Female,132
2012,92561,Male,7
2012,92561,Female,5
2012,92562,Male,188
2012,92562,Female,153
2012,92563,Male,141
2012,92563,Female,124
2012,92567,Male,30
2012,92567,Female,21
2012,92570,Male,172
2012,92570,Female,132
2012,92571,Male,92
2012,92571,Female,81
2012,92582,Male,50
2012,92582,Female,41
2012,92583,Male,125
2012,92583,Female,131
2012,92584,Male,99
2012,92584,Female,94
2012,92585,Male,53
2012,92585,Female,49
2012,92586,Male,228
2012,92586,Female,247
2012,92587,Male,51
2012,92587,Female,55
2012,92590,Male,15
2012,92590,Female,13
2012,92591,Male,87
2012,92591,Female,89
2012,92592,Male,163
2012,92592,Female,164
2012,92595,Male,103
2012,92595,Female,125
2012,92596,Male,39
2012,92596,Female,41
2012,92602,Male,30
2012,92602,Female,19
2012,92603,Male,26
2012,92603,Female,36
2012,92604,Male,74
2012,92604,Female,71
2012,92606,Male,29
2012,92606,Female,23
2012,92610,Male,8
2012,92610,Female,19
2012,92612,Male,81
2012,92612,Female,79
2012,92614,Male,37
2012,92614,Female,38
2012,92617,Male,3
2012,92617,Female,4
2012,92618,Male,25
2012,92618,Female,32
2012,92620,Male,79
2012,92620,Female,91
2012,92624,Male,28
2012,92624,Female,38
2012,92625,Male,52
2012,92625,Female,74
2012,92626,Male,170
2012,92626,Female,147
2012,92627,Male,166
2012,92627,Female,146
2012,92629,Male,121
2012,92629,Female,100
2012,92630,Male,136
2012,92630,Female,200
2012,92633,Male,3
2012,92633,Female,4
2012,92637,Male,288
2012,92637,Female,336
2012,92643,Male,1
2012,92643,Female,4
2012,92646,Male,206
2012,92646,Female,233
2012,92647,Male,185
2012,92647,Female,172
2012,92648,Male,141
2012,92648,Female,168
2012,92649,Male,125
2012,92649,Female,111
2012,92651,Male,86
2012,92651,Female,92
2012,92653,Male,135
2012,92653,Female,163
2012,92655,Male,42
2012,92655,Female,20
2012,92656,Male,71
2012,92656,Female,78
2012,92657,Male,21
2012,92657,Female,18
2012,92660,Male,135
2012,92660,Female,138
2012,92661,Male,16
2012,92661,Female,19
2012,92662,Male,17
2012,92662,Female,21
2012,92663,Male,88
2012,92663,Female,83
2012,92672,Male,130
2012,92672,Female,130
2012,92673,Male,84
2012,92673,Female,79
2012,92675,Male,132
2012,92675,Female,131
2012,92677,Male,167
2012,92677,Female,187
2012,92679,Male,42
2012,92679,Female,46
2012,92680,Male,2
2012,92680,Female,5
2012,92683,Male,322
2012,92683,Female,304
2012,92686,Male,1
2012,92686,Female,5
2012,92688,Male,66
2012,92688,Female,81
2012,92691,Male,163
2012,92691,Female,201
2012,92692,Male,150
2012,92692,Female,165
2012,92694,Male,26
2012,92694,Female,18
2012,92701,Male,90
2012,92701,Female,63
2012,92703,Male,147
2012,92703,Female,106
2012,92704,Male,183
2012,92704,Female,148
2012,92705,Male,151
2012,92705,Female,182
2012,92706,Male,87
2012,92706,Female,118
2012,92707,Male,116
2012,92707,Female,101
2012,92708,Male,208
2012,92708,Female,238
2012,92780,Male,141
2012,92780,Female,152
2012,92782,Male,49
2012,92782,Female,28
2012,92801,Male,188
2012,92801,Female,202
2012,92802,Male,98
2012,92802,Female,104
2012,92804,Male,264
2012,92804,Female,259
2012,92805,Male,158
2012,92805,Female,165
2012,92806,Male,108
2012,92806,Female,90
2012,92807,Male,127
2012,92807,Female,125
2012,92808,Male,27
2012,92808,Female,35
2012,92821,Male,118
2012,92821,Female,123
